rating_avg,pages,author_followers
3.39,343 pages,605
4.0,413 pages,11.5k
4.01,341 pages,278
4.4,377 pages,42.5k
3.85,112 pages,28
4.17,481 pages,20.3k
4.28,273 pages,80.9k
4.26,373 pages,776
4.34,48 pages,280
3.56,416 pages,1969
4.38,147 pages,10k
3.7,336 pages,9963
4.11,418 pages,5303
3.62,378 pages,50
3.88,207 pages,2915
4.03,344 pages,1447
3.73,354 pages,1675
4.03,480 pages,347
3.87,320 pages,5950
3.74,436 pages,1553
4.24,304 pages,112
4.07,576 pages,4
4.07,48 pages,92
3.68,288 pages,2042
3.75,310 pages,9683
4.3,48 pages,579
3.99,208 pages,239
3.76,373 pages,47
4.44,30 pages,8
3.64,291 pages,12k
4.31,262 pages,15.1k
3.62,274 pages,16k
3.69,Mass Market Paperback,0
4.35,387 pages,2998
3.92,275 pages,14k
3.94,756 pages,10
4.03,353 pages,24.8k
3.64,228 pages,38k
4.33,496 pages,4053
4.14,335 pages,3765
4.33,572 pages,49.7k
4.15,408 pages,26
3.67,298 pages,105
3.61,193 pages,187
3.6,464 pages,3
4.2,156 pages,12
3.49,224 pages,268
4.22,192 pages,418
3.43,432 pages,40k
3.92,311 pages,784
4.01,292 pages,4914
3.5,112 pages,0
4.09,384 pages,1071
4.5,400 pages,33.5k
3.69,183 pages,19.3k
3.98,489 pages,77.4k
3.79,472 pages,136
3.97,288 pages,20
3.72,229 pages,511
4.19,416 pages,12k
3.91,404 pages,1823
3.96,279 pages,8
4.15,322 pages,12.4k
4.25,411 pages,11.4k
4.44,448 pages,396
3.55,96 pages,32
3.88,ebook,11
3.79,387 pages,1464
3.6,Audio Cassette,42
4.18,352 pages,36.1k
3.35,304 pages,37
4.03,544 pages,18.1k
4.21,432 pages,8367
3.66,416 pages,80.2k
3.99,425 pages,14
3.99,311 pages,329
3.34,176 pages,4127
4.3,437 pages,699
4.46,512 pages,27.1k
4.21,336 pages,389
4.18,262 pages,1157
4.1,332 pages,6709
4.07,323 pages,13.4k
3.92,666 pages,13.3k
4.42,144 pages,341
3.99,226 pages,7031
3.75,306 pages,19
3.7,288 pages,1250
4.36,32 pages,19
4.09,32 pages,50
3.58,288 pages,2188
3.69,249 pages,843
3.6,220 pages,6753
3.87,320 pages,41.1k
4.0,272 pages,318
3.03,Audio CD,35
3.31,192 pages,2768
4.2,262 pages,5753
4.14,452 pages,15.9k
3.94,37 pages,12.8k
4.12,144 pages,81.2k
4.27,388 pages,31.8k
4.43,640 pages,38.5k
4.36,296 pages,8010
4.12,384 pages,8098
4.41,282 pages,44
4.42,278 pages,3704
3.51,401 pages,309
3.15,201 pages,68
3.69,275 pages,125
4.09,251 pages,2
3.88,328 pages,502
4.39,244 pages,17.3k
4.25,405 pages,377
4.48,207 pages,38.5k
3.56,292 pages,571
3.61,352 pages,227
4.23,224 pages,1284
3.7,228 pages,18k
3.92,410 pages,927
3.67,176 pages,book16
4.36,236 pages,3330
3.7,222 pages,10.8k
3.89,468 pages,3946
2.8,239 pages,0
4.24,282 pages,1675
3.55,246 pages,2
3.92,304 pages,18.2k
4.2,497 pages,3831
3.73,232 pages,5
4.14,394 pages,104
4.14,32 pages,4
4.0,386 pages,3396
4.31,463 pages,6
3.7,114 pages,267
3.47,320 pages,2819
4.21,64 pages,43
4.2,432 pages,435
3.81,448 pages,10.4k
4.05,358 pages,2901
3.63,192 pages,162
4.23,371 pages,135k
4.32,460 pages,4311
3.71,272 pages,3811
4.25,100 pages,543
3.89,288 pages,1093
4.47,420 pages,3975
3.99,519 pages,13.2k
4.25,175 pages,12.2k
3.97,179 pages,739
4.19,225 pages,2585
3.88,288 pages,333
3.73,438 pages,1327
3.72,304 pages,36
3.91,312 pages,3203
4.33,32 pages,1114
4.02,320 pages,648
3.75,402 pages,1912
4.11,496 pages,6408
3.79,272 pages,1187
3.88,441 pages,3045
4.13,40 pages,14
3.83,338 pages,5289
4.12,389 pages,21.4k
4.12,64 pages,101
3.93,198 pages,2240
3.83,160 pages,3510
4.04,341 pages,6879
4.14,359 pages,12.2k
3.66,247 pages,658
4.07,448 pages,2768
4.26,176 pages,book
3.6,250 pages,215
3.89,352 pages,3259
4.38,384 pages,389
3.93,221 pages,5272
4.24,466 pages,30.6k
4.04,311 pages,13.1k
4.27,305 pages,188
3.73,284 pages,233
3.98,288 pages,2762
3.81,432 pages,343
3.0,Hardcover,53
4.33,160 pages,314k
3.91,272 pages,book46
3.78,288 pages,2177
4.18,362 pages,5510
4.09,288 pages,1137
4.34,128 pages,1698
3.99,345 pages,4313
3.87,337 pages,2212
4.32,411 pages,42.5k
3.85,323 pages,8207
4.5,253 pages,12
3.24,189 pages,106
4.3,664 pages,1278
3.96,380 pages,2071
4.25,39 pages,1426
3.47,387 pages,6513
4.11,378 pages,21k
4.5,280 pages,0
4.39,244 pages,115
4.31,160 pages,18.7k
3.79,222 pages,667
3.62,198 pages,7139
3.63,205 pages,227
3.95,376 pages,841k
3.93,176 pages,1476
3.89,321 pages,2216
4.11,432 pages,788
3.52,248 pages,122
4.03,310 pages,1327
3.97,467 pages,87
3.97,370 pages,1589
4.15,48 pages,404
3.73,117 pages,2673
3.31,122 pages,book24
3.75,386 pages,450
3.87,352 pages,70k
3.98,Audiobook,3
3.6,392 pages,2325
3.63,248 pages,105
4.48,144 pages,12.4k
3.7,481 pages,4646
4.03,94 pages,2712
4.09,425 pages,215
4.37,338 pages,33.5k
4.58,485 pages,295
3.67,135 pages,593
4.06,288 pages,3752
4.19,2 pages,204
4.48,261 pages,990
3.96,240 pages,2213
3.83,146 pages,36.1k
3.29,320 pages,49
3.98,6 pages,38k
4.45,224 pages,28
4.41,546 pages,17.1k
4.44,164 pages,book9
3.63,339 pages,6879
3.94,384 pages,683
3.75,381 pages,3204
3.49,224 pages,2
4.15,367 pages,1830
0.0,39 pages,book
3.33,156 pages,2
3.5,320 pages,34
4.23,353 pages,5542
4.11,576 pages,195
3.87,375 pages,158
4.03,432 pages,8224
3.71,288 pages,26.6k
3.57,492 pages,1117
4.12,536 pages,31
4.36,128 pages,225
4.52,56 pages,9264
3.9,199 pages,0
4.03,254 pages,31
4.18,400 pages,25.1k
3.53,326 pages,829
3.86,271 pages,17k
3.41,192 pages,3
4.71,504 pages,13.5k
3.78,400 pages,1025
3.79,466 pages,2926
3.87,384 pages,5431
3.89,240 pages,224
4.16,68 pages,3854
4.08,327 pages,2353
3.62,256 pages,14.1k
3.98,496 pages,2470
3.54,460 pages,1489
3.89,564 pages,343
3.93,648 pages,4496
4.2,275 pages,11
3.21,352 pages,550
4.35,321 pages,251
3.06,256 pages,62
4.21,190 pages,11.6k
3.65,225 pages,927
3.8,282 pages,1167
4.49,560 pages,1840
3.87,327 pages,3647
4.0,378 pages,9356
3.86,385 pages,4248
4.28,40 pages,16
3.46,272 pages,1073
3.83,103 pages,8167
4.06,273 pages,21.5k
3.68,317 pages,360
4.18,237 pages,1628
4.02,368 pages,916
4.09,340 pages,18.1k
3.92,286 pages,24k
4.22,320 pages,2350
4.0,358 pages,215
3.89,256 pages,6351
3.93,415 pages,5889
3.53,482 pages,10.6k
4.26,357 pages,26.6k
4.03,32 pages,2071
3.96,291 pages,548
4.05,512 pages,3317
3.78,390 pages,2692
4.13,541 pages,1884
4.09,299 pages,6853
3.27,250 pages,38
3.9,304 pages,89
3.67,448 pages,138
4.33,208 pages,307
4.43,498 pages,269k
4.12,419 pages,149
4.15,47 pages,17
3.76,176 pages,150
3.9,244 pages,book21
3.19,328 pages,392
3.93,569 pages,5265
4.33,40 pages,3886
4.35,32 pages,3
4.14,778 pages,449
3.83,193 pages,3535
3.93,352 pages,6879
3.52,356 pages,173
3.92,288 pages,346
3.65,320 pages,10.6k
3.99,463 pages,7489
3.21,414 pages,14
3.79,384 pages,893
4.15,272 pages,1587
3.72,367 pages,10.8k
4.0,213 pages,239
3.69,266 pages,13k
4.09,256 pages,465
3.58,256 pages,44
4.31,347 pages,book6
4.21,336 pages,3280
4.01,131 pages,1146
3.81,482 pages,434
3.67,366 pages,0
4.75,432 pages,1
4.21,192 pages,6
3.47,288 pages,2615
4.11,430 pages,6878
4.15,32 pages,217
4.32,192 pages,225
3.4,375 pages,book97
4.13,388 pages,2481
3.53,152 pages,90
4.65,180 pages,30
3.99,272 pages,1336
4.25,ebook,1
3.75,272 pages,87
4.5,208 pages,783
3.88,308 pages,6432
3.9,144 pages,324
3.95,352 pages,10.8k
3.65,384 pages,3001
3.92,171 pages,841k
4.19,30 pages,89
4.0,448 pages,726
3.78,147 pages,117k
3.68,368 pages,322
3.67,368 pages,book
4.04,437 pages,389
3.91,316 pages,55.1k
4.16,376 pages,530
3.74,352 pages,24
3.61,286 pages,53
4.46,208 pages,6
3.45,564 pages,8320
3.64,240 pages,4
3.97,389 pages,477
3.89,290 pages,305k
3.93,26 pages,20
4.09,369 pages,132k
3.7,248 pages,17
2.56,266 pages,3
3.95,319 pages,2564
4.11,496 pages,1174
3.7,336 pages,223
3.84,352 pages,429
4.21,320 pages,3478
3.98,288 pages,276
4.1,382 pages,19.5k
4.1,416 pages,1034
3.35,384 pages,1327
3.37,270 pages,872
4.29,310 pages,1992
4.04,371 pages,525
3.74,416 pages,173
4.18,448 pages,347
3.8,279 pages,367
4.42,320 pages,170
3.75,352 pages,25
3.84,567 pages,56
3.69,251 pages,143
3.39,464 pages,322
3.84,264 pages,694
3.9,352 pages,94
4.32,384 pages,389
3.76,552 pages,1246
4.2,384 pages,4
4.45,196 pages,2579
4.09,384 pages,3437
3.26,Audio CD,6
4.23,331 pages,3
3.8,256 pages,2454
3.85,402 pages,1829
4.16,265 pages,42.5k
4.12,458 pages,52.5k
4.26,32 pages,80
3.96,355 pages,376
2.94,371 pages,197
4.25,64 pages,6567
3.82,299 pages,843
3.99,444 pages,1796
3.88,201 pages,29
4.4,250 pages,64
3.6,288 pages,27
3.93,432 pages,907
4.17,327 pages,1989
3.71,36 pages,18.8k
4.36,336 pages,55
4.22,112 pages,331
4.19,193 pages,4
4.41,426 pages,38.5k
3.83,306 pages,38
4.0,215 pages,1
3.6,384 pages,15.1k
4.12,367 pages,1599
3.7,368 pages,5630
4.14,224 pages,607
4.0,176 pages,1
3.77,520 pages,10.2k
3.89,264 pages,3108
3.33,224 pages,348
3.24,247 pages,1629
3.82,420 pages,345k
3.47,384 pages,14
3.98,432 pages,831
4.0,256 pages,24
3.3,343 pages,151
4.13,480 pages,1256
3.5,251 pages,2
4.27,460 pages,1200
4.02,286 pages,7225
4.14,410 pages,21.4k
4.37,64 pages,254
3.81,400 pages,58
3.71,192 pages,2519
4.0,421 pages,2406
3.96,320 pages,3937
3.75,449 pages,25.1k
4.2,478 pages,859
4.32,384 pages,3859
4.16,32 pages,518
3.56,300 pages,48
3.78,486 pages,2571
3.76,345 pages,34.4k
3.59,337 pages,514
4.08,116 pages,28
4.23,ebook,7522
3.88,400 pages,414
3.45,149 pages,16.3k
3.91,264 pages,194
4.38,244 pages,76
3.42,256 pages,586
3.54,304 pages,327
4.09,344 pages,3016
3.39,137 pages,61
3.92,352 pages,160
4.0,302 pages,2
4.07,751 pages,10k
4.09,334 pages,32.2k
3.89,400 pages,2242
4.03,353 pages,24.8k
3.67,240 pages,1022
4.27,1376 pages,2856
3.9,338 pages,659
4.11,320 pages,416
3.76,404 pages,book277
4.33,431 pages,25.5k
3.87,352 pages,3696
4.49,306 pages,339
4.03,592 pages,42
4.27,242 pages,16.8k
3.96,244 pages,1126
4.29,479 pages,15.2k
4.34,350 pages,2010
4.2,444 pages,7273
4.4,371 pages,28.5k
4.09,304 pages,25.8k
4.1,480 pages,2078
4.13,40 pages,1416
3.74,756 pages,75k
3.68,377 pages,104
3.69,228 pages,6
3.91,64 pages,3648
3.89,320 pages,112
3.59,29 pages,18.5k
3.86,315 pages,4895
3.77,387 pages,10.9k
3.44,184 pages,44
2.97,272 pages,35
4.16,419 pages,24.5k
4.1,208 pages,522
3.56,408 pages,118k
4.03,281 pages,25.5k
3.9,372 pages,28.9k
4.06,219 pages,1849
4.05,382 pages,13k
3.72,268 pages,10
4.1,352 pages,6225
3.87,161 pages,1141
3.75,127 pages,1
4.05,405 pages,6853
4.01,324 pages,35.8k
4.08,126 pages,267
4.28,64 pages,308
3.81,304 pages,4034
3.64,376 pages,108
3.79,373 pages,2211
3.61,335 pages,2541
3.01,290 pages,164
4.28,270 pages,105
4.09,386 pages,1397
4.36,371 pages,22.5k
4.45,456 pages,12k
3.86,384 pages,503
2.89,256 pages,4
4.06,400 pages,72k
4.02,96 pages,27k
3.86,128 pages,103
4.33,421 pages,6273
3.71,305 pages,9372
4.2,272 pages,book
4.15,359 pages,6469
3.65,368 pages,1058
3.9,264 pages,15.1k
3.96,257 pages,21.3k
4.4,188 pages,12
4.37,457 pages,223k
3.99,265 pages,2260
4.58,256 pages,6
4.16,326 pages,49.9k
4.29,284 pages,3150
4.26,448 pages,797
4.11,160 pages,6773
3.89,Kindle Edition,book29
3.66,424 pages,327
4.23,273 pages,13.4k
4.24,267 pages,18.8k
4.18,448 pages,book
4.13,Paperback,205
4.02,352 pages,474
3.89,400 pages,2392
4.09,302 pages,20.7k
3.78,309 pages,3421
3.88,304 pages,2981
3.93,320 pages,1095
4.05,270 pages,119
3.64,240 pages,2871
4.39,389 pages,4395
3.67,195 pages,0
3.46,96 pages,8165
4.14,154 pages,3878
3.72,305 pages,3818
4.45,1088 pages,1759
3.59,288 pages,854
4.29,384 pages,12.3k
4.21,384 pages,141
3.48,248 pages,1504
3.36,281 pages,1
3.76,400 pages,213
3.54,240 pages,17.6k
3.93,1009 pages,5025
3.86,Paperback,785
3.79,184 pages,239
3.81,308 pages,4652
4.17,224 pages,42
4.0,100 pages,65
3.89,464 pages,1823
3.88,449 pages,1885
4.25,419 pages,5177
4.1,368 pages,6753
3.36,274 pages,355
4.15,310 pages,703k
3.2,294 pages,1334
3.92,532 pages,814
3.44,240 pages,449
3.19,Audio CD,129
4.05,398 pages,2482
4.29,368 pages,8056
3.75,340 pages,76
3.87,440 pages,27.2k
3.0,275 pages,6
4.18,640 pages,13.1k
4.14,267 pages,23.9k
3.6,361 pages,181
3.74,188 pages,672
3.71,240 pages,1356
4.12,368 pages,61.4k
4.01,377 pages,19.1k
3.78,394 pages,3897
3.96,368 pages,2981
4.22,255 pages,7001
3.23,336 pages,1216
3.92,400 pages,333
4.06,576 pages,841k
3.67,400 pages,841k
4.29,256 pages,38.6k
3.9,279 pages,9557
4.1,209 pages,431
4.16,341 pages,10.3k
3.81,399 pages,10.6k
4.5,136 pages,4
4.46,341 pages,18.2k
3.97,322 pages,9645
4.3,352 pages,1776
3.86,400 pages,6880
4.45,624 pages,27.2k
4.23,352 pages,12k
3.83,256 pages,321
4.17,46 pages,3108
3.56,372 pages,97
4.15,246 pages,2193
3.84,708 pages,26.2k
3.81,224 pages,500
3.38,240 pages,2
3.72,283 pages,10.6k
3.84,272 pages,45
3.48,272 pages,63
4.25,40 pages,26
3.98,144 pages,186
3.89,252 pages,2452
3.96,384 pages,31
3.99,384 pages,1728
4.11,303 pages,2259
3.55,266 pages,394
3.69,305 pages,23k
3.75,224 pages,875
4.14,244 pages,423k
4.18,208 pages,1
3.53,324 pages,4814
4.0,432 pages,1684
3.86,273 pages,17.1k
3.71,314 pages,1857
4.32,397 pages,1068
4.14,448 pages,148
3.95,160 pages,105
3.86,309 pages,6582
3.9,235 pages,1859
4.67,98 pages,4
3.7,384 pages,445
3.49,181 pages,392
4.07,252 pages,1492
4.01,48 pages,7
4.26,Kindle Edition,438
4.15,387 pages,17.3k
3.98,,679
3.81,448 pages,10.4k
4.16,144 pages,2
4.22,371 pages,4327
4.41,392 pages,30.9k
4.06,120 pages,63
3.66,672 pages,770
2.33,31 pages,31
4.33,390 pages,1214
4.31,270 pages,4058
3.93,366 pages,2829
3.27,352 pages,115
4.04,352 pages,2193
3.77,280 pages,748
4.37,432 pages,9968
4.55,240 pages,174
4.29,190 pages,2772
4.25,262 pages,3846
4.0,260 pages,2145
3.92,248 pages,6815
4.13,32 pages,640
3.79,416 pages,42k
3.78,325 pages,31.5k
3.75,602 pages,3880
4.64,272 pages,633
3.53,80 pages,61
4.19,507 pages,13.7k
3.76,82 pages,1433
3.59,253 pages,8237
3.75,193 pages,634
4.05,384 pages,522
3.46,365 pages,76
3.65,290 pages,73
3.73,246 pages,5553
4.2,464 pages,6561
3.68,32 pages,47
4.25,374 pages,42.5k
3.76,336 pages,257
4.12,381 pages,469
4.2,692 pages,4126
4.43,423 pages,18k
4.34,418 pages,7633
4.27,381 pages,774
4.14,656 pages,274
3.89,768 pages,8722
4.06,280 pages,762
3.98,320 pages,343
4.03,374 pages,4158
3.59,384 pages,2317
4.06,373 pages,345k
3.62,269 pages,239
3.91,400 pages,1377
4.47,193 pages,4277
3.69,368 pages,8122
4.48,Hardcover,1525
3.83,314 pages,14.9k
4.42,544 pages,4636
3.82,256 pages,1578
4.01,480 pages,1470
3.87,288 pages,1504
4.02,304 pages,3696
4.25,399 pages,3636
4.17,240 pages,91
4.13,318 pages,8721
3.85,156 pages,16k
3.99,357 pages,5368
3.9,368 pages,21.3k
3.73,292 pages,438
3.61,224 pages,0
4.26,449 pages,694
3.78,258 pages,3
4.16,296 pages,5282
3.67,304 pages,306
3.87,352 pages,677
4.02,400 pages,2810
4.29,384 pages,12.3k
4.08,529 pages,1484
3.96,292 pages,1733
4.23,208 pages,4225
3.79,199 pages,914
4.32,34 pages,106
4.29,384 pages,1464
3.9,352 pages,82
4.08,257 pages,8705
3.75,300 pages,111
4.23,437 pages,16k
4.07,354 pages,1558
4.0,988 pages,203
3.98,330 pages,1572
3.54,297 pages,98
4.02,328 pages,8723
4.24,337 pages,17.5k
3.41,294 pages,405
4.21,153 pages,16.4k
4.07,407 pages,432
4.11,754 pages,5303
3.89,334 pages,110k
3.6,304 pages,2330
4.29,593 pages,7578
4.27,400 pages,12.1k
4.15,288 pages,956
3.89,272 pages,71
4.11,192 pages,349
4.19,112 pages,513
3.14,256 pages,16
0.0,172 pages,22
4.14,200 pages,38
3.23,166 pages,1087
3.94,318 pages,12.3k
3.88,359 pages,6878
3.78,128 pages,11
3.83,305 pages,56
3.5,394 pages,1
4.22,190 pages,408
3.83,203 pages,428
4.28,480 pages,1993
4.04,Nook,1576
3.93,441 pages,3445
3.61,155 pages,181
3.82,320 pages,213
4.44,355 pages,33.5k
4.15,217 pages,1992
4.07,336 pages,92
3.32,276 pages,394
4.1,384 pages,8697
3.53,313 pages,17.7k
4.3,388 pages,300
3.0,288 pages,2
4.0,304 pages,2988
4.34,418 pages,3477
3.44,446 pages,21k
4.23,496 pages,1681
4.29,492 pages,1196
4.0,416 pages,6472
4.14,431 pages,1655
3.54,128 pages,50.1k
3.91,240 pages,10.5k
3.42,352 pages,13.5k
3.94,235 pages,46
4.11,256 pages,13
3.55,384 pages,0
3.77,488 pages,38
4.17,356 pages,11.6k
3.8,188 pages,126
3.07,302 pages,1699
3.66,416 pages,774
3.92,464 pages,208
3.28,401 pages,2651
3.69,297 pages,582
3.57,320 pages,10
4.27,604 pages,13.3k
4.0,304 pages,3757
4.36,48 pages,361
3.88,384 pages,13.1k
3.83,272 pages,401
4.08,384 pages,5
3.82,215 pages,21.1k
3.58,306 pages,9111
4.22,368 pages,871
4.0,320 pages,37
3.89,417 pages,2207
3.71,368 pages,book351
3.81,424 pages,109
3.94,272 pages,71
4.08,333 pages,24.3k
3.57,376 pages,135
4.33,490 pages,7187
3.45,444 pages,1674
4.25,268 pages,35.5k
3.28,128 pages,5887
4.13,462 pages,73
3.91,132 pages,13
4.58,393 pages,108
4.31,288 pages,10.2k
3.92,466 pages,9611
4.5,248 pages,2512
3.49,384 pages,3808
3.79,368 pages,2332
3.68,288 pages,700
3.56,544 pages,394
4.22,304 pages,5668
4.07,200 pages,3523
4.67,76 pages,53
3.76,335 pages,24k
4.31,200 pages,1390
4.05,41 pages,6438
3.51,343 pages,40.4k
3.79,384 pages,2167
3.89,73 pages,2275
3.78,275 pages,2024
4.14,32 pages,0
4.06,292 pages,438
3.6,242 pages,19
4.02,354 pages,38.3k
4.15,20 pages,143
0.0,334 pages,book
3.89,642 pages,8235
3.5,320 pages,4
3.39,279 pages,19
4.06,320 pages,467
4.03,352 pages,677
3.88,335 pages,13.2k
3.61,305 pages,363
4.31,224 pages,3837
3.88,385 pages,4466
3.76,395 pages,44
3.94,281 pages,1578
4.27,232 pages,6354
3.06,288 pages,1
4.1,235 pages,100
3.72,152 pages,14k
3.22,22 pages,771
4.45,946 pages,1055
3.78,562 pages,9112
3.98,329 pages,3072
3.68,368 pages,633
4.05,240 pages,112k
4.0,233 pages,3082
3.9,252 pages,1819
3.68,255 pages,99
4.16,390 pages,228k
4.0,216 pages,0
4.0,Mass Market Paperback,146
4.12,144 pages,68.1k
4.41,30 pages,181
4.34,400 pages,31.4k
4.09,32 pages,525
4.02,Kindle Edition,2712
3.56,362 pages,1930
4.11,295 pages,9922
4.08,716 pages,5025
4.01,32 pages,303
3.57,192 pages,155
4.27,Audiobook,47
3.53,279 pages,5247
3.58,335 pages,2200
3.64,208 pages,196
3.83,208 pages,0
3.84,276 pages,2564
3.97,357 pages,11.3k
4.15,91 pages,565
3.93,298 pages,1578
4.26,128 pages,13
3.61,320 pages,book119
3.71,244 pages,38k
3.53,490 pages,26.2k
3.73,174 pages,770
3.63,216 pages,189
4.5,448 pages,10.3k
4.23,360 pages,5677
3.67,319 pages,173
3.51,288 pages,12k
4.08,400 pages,2495
4.01,250 pages,586
3.66,330 pages,151
3.93,320 pages,11.2k
4.04,256 pages,3
3.47,320 pages,2
4.28,336 pages,book628
3.64,240 pages,0
3.99,178 pages,85
4.45,300 pages,1969
4.02,432 pages,4756
4.08,983 pages,125
3.54,368 pages,3047
3.87,288 pages,6
3.89,304 pages,28
3.72,218 pages,46
3.9,345 pages,5612
3.83,437 pages,19.9k
3.47,304 pages,909
4.1,464 pages,12k
3.5,355 pages,3653
4.28,288 pages,58
4.21,208 pages,138
3.32,544 pages,135
3.98,320 pages,6561
4.19,277 pages,2015
3.15,420 pages,1781
3.2,279 pages,191
4.01,401 pages,9957
4.1,400 pages,11.6k
4.31,326 pages,30
3.93,352 pages,1298
4.24,375 pages,7971
3.54,128 pages,34.4k
3.94,240 pages,20
4.09,388 pages,18.1k
4.66,240 pages,2040
4.26,352 pages,17
4.33,849 pages,841k
4.21,399 pages,0
4.01,336 pages,279
4.21,512 pages,904
4.2,386 pages,5384
4.23,126 pages,658
4.46,32 pages,190
4.11,320 pages,3563
3.54,257 pages,428
4.54,542 pages,1
3.97,304 pages,27.2k
4.31,304 pages,5
3.78,120 pages,1755
4.26,247 pages,145
3.69,224 pages,1515
4.03,256 pages,658
4.11,240 pages,461
4.14,404 pages,8240
3.97,365 pages,78
3.97,Kindle Edition,1576
4.38,ebook,7553
4.41,141 pages,31
3.82,304 pages,27
3.01,278 pages,60
3.84,370 pages,3046
3.78,Kindle Edition,2770
4.54,608 pages,9
4.06,125 pages,267
4.0,352 pages,261
3.85,402 pages,1829
3.78,308 pages,2507
4.22,337 pages,7343
4.0,352 pages,2475
4.28,490 pages,1196
3.92,1074 pages,841k
3.8,203 pages,4543
3.76,245 pages,62
3.97,256 pages,30
4.26,544 pages,38.5k
3.8,288 pages,677
3.82,356 pages,1675
3.75,384 pages,929
4.03,391 pages,1777
3.45,311 pages,1473
3.98,649 pages,7904
4.01,296 pages,3
3.54,382 pages,0
4.42,288 pages,683
3.92,112 pages,3878
4.1,68 pages,9589
3.79,460 pages,2
3.92,255 pages,321
4.17,400 pages,11.8k
4.06,768 pages,314
3.97,448 pages,3395
4.01,391 pages,4379
3.65,320 pages,2391
4.2,128 pages,6567
4.2,365 pages,726
3.98,128 pages,259
4.09,387 pages,5843
3.89,308 pages,416
3.91,368 pages,6753
4.16,212 pages,5073
3.62,285 pages,375
3.95,356 pages,17.4k
3.99,387 pages,2564
3.87,320 pages,5377
4.15,512 pages,1526
4.22,406 pages,8665
3.78,494 pages,26
3.3,259 pages,11.4k
3.73,240 pages,230
3.65,356 pages,2342
3.32,224 pages,41
3.94,ebook,254
4.48,172 pages,353
3.77,240 pages,670
3.91,254 pages,book108
3.87,704 pages,2733
4.4,164 pages,579
4.25,240 pages,2
4.43,423 pages,48.5k
3.92,304 pages,589
2.95,208 pages,854
4.27,465 pages,13.6k
4.05,406 pages,6648
4.25,196 pages,1669
3.91,339 pages,6753
3.27,224 pages,10
3.78,Paperback,289
3.4,289 pages,55
4.09,416 pages,345k
3.42,382 pages,35
4.09,359 pages,17.1k
3.95,388 pages,471
3.58,358 pages,23
3.96,129 pages,187
4.17,273 pages,484
4.02,464 pages,52.5k
3.89,267 pages,20
4.09,304 pages,25.8k
4.01,312 pages,1729
3.55,305 pages,629
3.85,MP3 CD,3643
4.11,332 pages,4914
3.81,320 pages,137
3.71,400 pages,8215
4.32,622 pages,17.8k
4.03,352 pages,8170
4.05,328 pages,1301
3.81,336 pages,35.8k
3.93,296 pages,7099
4.09,107 pages,31
4.15,377 pages,1
3.75,309 pages,8
4.04,337 pages,3698
4.65,Kindle Edition,6
3.51,352 pages,122
4.21,372 pages,1523
3.96,368 pages,522
4.05,150 pages,16k
3.8,368 pages,6
4.46,356 pages,1538
3.41,272 pages,1741
4.34,1125 pages,110k
3.45,48 pages,3
3.93,200 pages,648
4.29,1088 pages,24k
4.07,304 pages,100
3.56,240 pages,3041
2.9,169 pages,405
4.11,234 pages,1718
3.69,260 pages,2519
3.41,224 pages,9
4.28,432 pages,77.8k
3.5,352 pages,786
3.46,364 pages,20
4.12,912 pages,8015
3.38,279 pages,407
4.02,176 pages,148
3.89,275 pages,18.7k
3.43,350 pages,318
4.24,421 pages,7331
4.14,368 pages,31.4k
3.45,288 pages,696
3.87,384 pages,387
4.29,400 pages,3831
4.07,416 pages,10.4k
5.0,60 pages,0
4.0,364 pages,29
4.1,464 pages,6791
3.92,336 pages,2319
3.91,448 pages,34.4k
4.02,501 pages,2877
3.87,336 pages,101k
4.02,3 pages,24.1k
3.98,512 pages,471
3.73,756 pages,74.9k
4.07,32 pages,107
3.67,256 pages,137
3.92,435 pages,26.5k
4.02,535 pages,11.3k
4.05,497 pages,10.4k
4.2,494 pages,38.5k
4.21,440 pages,6328
3.36,360 pages,14
3.95,428 pages,56.5k
4.3,544 pages,3856
4.3,414 pages,9968
3.86,320 pages,436
3.26,140 pages,6691
4.07,384 pages,10.1k
3.91,96 pages,2712
3.88,448 pages,66.4k
3.95,440 pages,87
4.01,Audio CD,2981
3.57,289 pages,1244
3.95,304 pages,114
4.1,356 pages,14k
3.78,450 pages,59
3.83,256 pages,4382
3.88,395 pages,11.6k
4.1,341 pages,129
3.71,158 pages,16.6k
3.88,415 pages,769
4.38,358 pages,16k
5.0,398 pages,3
3.71,384 pages,867
2.9,416 pages,4
4.2,320 pages,5
3.38,282 pages,2
3.98,23 pages,77.4k
3.83,328 pages,374
3.87,97 pages,5376
3.16,272 pages,82
4.13,122 pages,20
3.91,432 pages,2981
3.85,336 pages,677
3.77,272 pages,91
4.17,432 pages,42
4.18,ebook,31
3.99,288 pages,191
4.14,420 pages,10.1k
3.99,400 pages,6624
3.63,336 pages,53k
4.27,161 pages,18
4.01,368 pages,819
4.08,384 pages,2385
4.13,511 pages,70.1k
3.98,324 pages,1265
3.46,384 pages,1504
3.57,231 pages,129
3.93,352 pages,5838
3.62,416 pages,425
3.75,383 pages,947
2.82,208 pages,378
4.08,580 pages,50.8k
3.57,332 pages,841k
3.85,312 pages,1437
3.56,237 pages,97
4.16,,505
3.79,384 pages,2873
3.96,371 pages,1061
4.39,547 pages,48.5k
3.77,464 pages,289
4.03,136 pages,15.8k
4.52,336 pages,3402
