rating_avg,pages,author_followers
4.5,392 pages,6
4.13,358 pages,30k
3.55,343 pages,2336
3.87,Hardcover,267
4.22,272 pages,67
3.83,229 pages,117k
4.03,297 pages,172
3.73,464 pages,770
4.33,400 pages,293
3.64,295 pages,53k
4.18,384 pages,1776
4.03,244 pages,482
4.11,160 pages,2786
4.36,637 pages,132k
4.53,304 pages,20.9k
3.88,232 pages,5848
4.11,464 pages,36
4.06,416 pages,16.3k
4.02,502 pages,5303
4.36,272 pages,212
4.05,448 pages,16k
3.81,341 pages,6853
4.47,586 pages,423k
3.88,624 pages,48
4.0,113 pages,0
4.07,32 pages,26
4.06,390 pages,25.9k
4.1,144 pages,35
4.14,464 pages,179
3.81,295 pages,143
3.73,143 pages,9488
4.13,544 pages,755
4.3,329 pages,4
3.97,326 pages,13.9k
4.11,307 pages,10k
3.62,373 pages,25.2k
3.72,390 pages,193
4.03,704 pages,38.3k
4.28,322 pages,4436
3.87,205 pages,83
3.74,324 pages,5
3.99,432 pages,63
3.73,240 pages,416
3.62,203 pages,10
3.87,371 pages,307
3.78,189 pages,1142
3.97,384 pages,15.2k
3.98,528 pages,509
4.41,207 pages,554
4.22,606 pages,3801
3.93,69 pages,370
4.25,532 pages,21.7k
4.67,376 pages,0
4.24,288 pages,4
4.4,348 pages,18.2k
4.35,205 pages,280
4.25,455 pages,8664
3.73,512 pages,1674
4.05,340 pages,1457
3.85,358 pages,book87
4.01,256 pages,38
3.74,672 pages,2996
3.97,176 pages,52.9k
4.04,448 pages,5411
4.16,230 pages,10.3k
3.86,304 pages,82
3.82,350 pages,1979
4.07,480 pages,11.4k
3.89,464 pages,101
3.94,73 pages,1504
3.74,391 pages,22.7k
4.19,240 pages,118
3.84,570 pages,4
4.4,933 pages,1220
4.19,384 pages,30.6k
3.77,346 pages,16k
4.39,285 pages,18.2k
3.69,304 pages,129
3.92,428 pages,3290
3.62,217 pages,1279
4.16,1514 pages,4831
4.11,199 pages,0
4.19,605 pages,1168
3.83,343 pages,678
4.11,224 pages,book10
4.25,40 pages,277
3.81,384 pages,38.3k
3.78,360 pages,13.5k
3.99,386 pages,7958
3.62,208 pages,2
3.68,344 pages,1774
3.88,271 pages,5248
3.42,397 pages,6
4.1,515 pages,6625
3.82,88 pages,972
3.89,384 pages,28.1k
4.0,704 pages,1215
3.94,784 pages,3624
3.78,263 pages,29.2k
3.84,352 pages,34.2k
5.0,262 pages,2
4.21,560 pages,3859
4.5,250 pages,book1
4.24,240 pages,0
4.33,205 pages,697
3.75,288 pages,47
3.52,352 pages,376
3.96,64 pages,210
4.67,31 pages,564
3.49,224 pages,83
3.93,288 pages,book57
3.6,221 pages,0
3.54,203 pages,15
3.89,335 pages,6892
4.23,464 pages,2217
4.19,338 pages,2352
3.91,352 pages,96
3.78,224 pages,1086
4.07,357 pages,2533
3.59,255 pages,8264
3.86,358 pages,1206
